age,workclass,education_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income_per_anum
30, Private,15, Divorced, Prof-specialty, Not-in-family, White, Male,10520,0,50, United-States,1
43, Private,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,43, United-States,1
43, Private,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,15024,0,32, United-States,1
48, Private,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,0
21, Private,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Cuba,0
40, Federal-gov,9, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States,0
35, Private,9, Widowed, Other-service, Own-child, White, Female,0,0,40, United-States,0
59, Private,14, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,35, Philippines,0
26, Federal-gov,11, Never-married, Craft-repair, Own-child, White, Male,0,0,50, Japan,0
41, Private,13, Married-civ-spouse, Sales, Husband, White, Male,7688,0,50, United-States,1
23, Private,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States,0
20, Private,3, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40, Guatemala,0
33, Private,9, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States,0
49, Private,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0
46, Private,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,22, United-States,1
60, Self-emp-not-inc,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States,0
36, Self-emp-inc,13, Divorced, Sales, Not-in-family, White, Male,0,0,60, United-States,0
30, Private,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0
44, Private,7, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,46, Puerto-Rico,0
36, Private,1, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Puerto-Rico,0
27, Private,9, Divorced, Tech-support, Not-in-family, White, Female,0,0,45, United-States,0
56, Private,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States,1
44, Local-gov,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States,0
43, Private,9, Separated, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0
28, Private,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0
36, Private,9, Never-married, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States,0
57, Self-emp-inc,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0
64, Private,9, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States,0
28, Private,2, Never-married, Farming-fishing, Unmarried, White, Male,0,0,77, Mexico,0
67, Self-emp-not-inc,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,20051,0,25, United-States,1
68, Private,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,3818,0,40, United-States,0
30, Private,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States,1
25, Private,4, Never-married, Machine-op-inspct, Other-relative, White, Female,0,0,40, Dominican-Republic,0
50, Private,9, Widowed, Adm-clerical, Unmarried, White, Female,0,0,35, United-States,0
27, Private,3, Never-married, Farming-fishing, Unmarried, White, Male,0,0,50, United-States,0
28, Private,9, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Puerto-Rico,0
34, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0
25, Private,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
51, Private,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,99, South,0
51, Private,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,0
50, Local-gov,4, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,0
52, Federal-gov,9, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States,0
19, Private,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,20, United-States,0
19, Private,9, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States,0
46, Self-emp-not-inc,13, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,60, South,1
38, Private,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,0
48, Private,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,0
31, Self-emp-not-inc,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,0
28, Private,9, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, Mexico,0
41, Private,9, Never-married, Sales, Own-child, White, Male,0,0,40, United-States,0
37, Private,9, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States,0
44, Federal-gov,9, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0
56, Self-emp-not-inc,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,1977,50, United-States,1
75, Private,5, Married-civ-spouse, Prof-specialty, Husband, Black, Male,1409,0,5, United-States,0
30, Self-emp-inc,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0
56, State-gov,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0
49, Private,5, Divorced, Other-service, Not-in-family, Black, Male,0,0,37, United-States,0
31, Private,10, Widowed, Exec-managerial, Unmarried, White, Female,0,0,30, United-States,0
41, Private,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,43, United-States,1
